year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,1,HA,Hawaiian Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",31.00,16.00,13.62,1.34,0.00,0.00,1.04,2.00,0.00,1091.00,630.00,394.00,0.00,0.00,67.00
2022,1,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",2003.00,282.00,124.18,5.79,75.98,1.75,74.30,174.00,6.00,21196.00,11498.00,1571.00,2532.00,87.00,5508.00
2022,1,AS,Alaska Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",321.00,47.00,13.65,1.00,24.22,0.00,8.13,35.00,0.00,2023.00,886.00,20.00,687.00,0.00,430.00
2022,1,UA,United Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",123.00,16.00,7.99,0.00,4.30,0.00,3.71,8.00,0.00,2232.00,1394.00,0.00,204.00,0.00,634.00
2022,1,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1462.00,213.00,69.92,7.63,65.92,0.00,69.53,153.00,0.00,16405.00,7278.00,998.00,2432.00,0.00,5697.00
2022,1,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1471.00,187.00,71.26,3.89,55.55,2.66,53.63,141.00,2.00,12185.00,5560.00,239.00,1769.00,60.00,4557.00
2022,1,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",3865.00,1231.00,385.96,15.67,413.94,5.88,409.55,436.00,8.00,102629.00,35730.00,1858.00,20710.00,246.00,44085.00
2022,1,YX,Republic Airline,JFK,"New York, NY: John F. Kennedy International",1812.00,285.00,103.62,12.39,92.93,1.05,75.01,184.00,1.00,17115.00,6888.00,1291.00,3242.00,33.00,5661.00
2021,12,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1162.00,93.00,43.30,2.24,27.88,0.00,19.58,3.00,0.00,6641.00,3624.00,240.00,853.00,0.00,1924.00
2021,12,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1367.00,228.00,92.74,3.42,61.99,1.48,68.37,19.00,1.00,18546.00,6362.00,162.00,1794.00,30.00,10198.00
2021,12,AS,Alaska Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",333.00,76.00,39.38,5.57,15.90,0.00,15.15,12.00,0.00,5484.00,2846.00,861.00,795.00,0.00,982.00
2021,12,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",3482.00,1205.00,429.52,9.11,356.11,9.38,400.87,133.00,7.00,82455.00,33868.00,790.00,13316.00,310.00,34171.00
2021,12,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",1877.00,288.00,120.79,19.50,49.09,2.59,96.03,45.00,1.00,26449.00,15017.00,1748.00,1577.00,104.00,8003.00
2021,12,HA,Hawaiian Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",31.00,5.00,3.00,0.00,0.00,0.00,2.00,0.00,1.00,247.00,210.00,0.00,0.00,0.00,37.00
2021,12,UA,United Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",121.00,14.00,8.46,0.00,1.11,0.00,4.43,7.00,0.00,759.00,297.00,0.00,26.00,0.00,436.00
